City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,udachny,66.4167,112.4,12.33,70,100,3.51,RU,1725294589
84,colonia,50.9333,6.95,21.13,83,20,3.6,DE,1725294589
85,san patricio,28.017,-97.5169,29.97,69,30,4.9,US,1725294589
86,mhlume,-26.0333,31.85,20.54,63,0,2.5,SZ,1725294589
87,puerto baquerizo moreno,-0.9,-89.6,24.55,88,40,4.63,EC,1725294589
88,bubaque,11.2833,-15.8333,26.43,85,90,7.32,GW,1725294589
89,sao vicente,-23.9631,-46.3919,21.1,26,100,1.03,BR,1725294589
90,hithadhoo,-0.6,73.0833,28.67,77,100,4.58,MV,1725294590
91,iqaluit,63.7506,-68.5145,4.85,75,100,2.57,CA,1725294476
92,happy valley-goose bay,53.3168,-60.3315,17.17,55,75,4.63,CA,1725294488
93,salekhard,66.53,66.6019,8.71,72,94,6.56,RU,1725294590
94,vilani,56.5525,26.9245,20.84,57,99,4.65,LV,1725294590
95,waingapu,-9.6567,120.2641,24.23,86,8,2.92,ID,1725294590
96,at taj,24.2049,23.2857,39.28,18,8,3.66,LY,1725294590
97,vadso,70.0744,29.7487,17.09,72,100,2.57,NO,1725294590
98,sapulpa,35.9987,-96.1142,25.92,63,0,3.6,US,1725294524
99,kismayo,-0.3582,42.5454,25.06,73,8,7.07,SO,1725294590
100,bolivar,37.6145,-93.4105,24.03,56,37,5.75,US,1725294590
101,pavullo nel frignano,44.3315,10.835,22.42,67,99,1.54,IT,1725294591
102,vodnyy,63.5046,53.4095,12.07,72,100,4.17,RU,1725294591
103,ust-nera,64.5667,143.2,5.35,99,100,3.47,RU,1725294591
104,saipan,15.1355,145.701,27.39,83,40,3.6,MP,1725294591
105,lebu,-37.6167,-73.65,9.68,80,56,5.51,CL,1725294591
106,sungai penuh,-2.0833,101.3833,20.11,98,83,0.29,ID,1725294591
107,ribeira grande,38.5167,-28.7,26.22,53,40,7.72,PT,1725294591
108,aykhal,66.0,111.5,10.5,82,100,3.47,RU,1725294591
109,port mathurin,-19.6833,63.4167,21.81,78,25,8.83,MU,1725294591
110,rio grande,-32.035,-52.0986,16.17,75,69,1.17,BR,1725294591
111,morden,49.1919,-98.1014,23.24,56,75,4.63,CA,1725294465
112,tiksi,71.6872,128.8694,3.1,94,6,2.43,RU,1725294591
113,ulcinj,41.9294,19.2244,31.1,43,71,4.14,ME,1725294591
114,aasiaat,68.7098,-52.8699,2.41,77,71,4.27,GL,1725294591
115,buncrana,55.1333,-7.45,14.87,72,100,5.46,IE,1725294592
116,chokwe,-24.5333,32.9833,21.51,50,0,5.5,MZ,1725294592
117,mocajuba,-2.5842,-49.5072,37.81,27,22,2.05,BR,1725294592
118,yuzhno-kurilsk,44.0306,145.8556,17.76,95,100,2.65,RU,1725294592
119,antalaha,-14.9003,50.2788,21.32,90,83,3.81,MG,1725294592
120,llanes,43.4198,-4.7549,18.93,90,100,4.92,ES,1725294592
121,atafu village,-8.5421,-172.5159,27.98,73,13,8.54,TK,1725294592
122,isangel,-19.55,169.2667,20.98,80,16,2.88,VU,1725294592
123,cannonvale,-20.2833,148.7,20.66,87,0,2.66,AU,1725294592
124,okha,53.5739,142.9478,10.61,82,4,6.76,RU,1725294592
125,saint-philippe,-21.3585,55.7679,21.07,82,46,5.01,RE,1725294592
126,vega de alatorre,20.0333,-96.6333,30.36,64,97,2.6,MX,1725294592
127,manismata,-2.4667,111.0333,23.61,94,99,1.32,ID,1725294593
128,gorontalo,0.5412,123.0595,23.36,91,31,0.87,ID,1725294593
129,urangan,-25.3,152.9,19.76,82,0,2.77,AU,1725294593
130,altai,46.3722,96.2583,12.53,32,100,2.55,MN,1725294593
131,cidreira,-30.1811,-50.2056,18.12,63,70,3.48,BR,1725294593
132,hasaki,35.7333,140.8333,26.85,87,85,7.86,JP,1725294579
133,boyolangu,-8.1181,111.8935,22.47,95,83,0.61,ID,1725294593
134,isafjordur,66.0755,-23.124,10.02,81,100,2.06,IS,1725294593
135,alotau,-10.3069,150.4462,23.12,94,87,1.66,PG,1725294593
136,tidjikja,18.5564,-11.4271,39.44,13,8,3.86,MR,1725294593
137,yerofey pavlovich,53.9667,121.9667,10.8,77,9,1.18,RU,1725294593
138,walvis bay,-22.9575,14.5053,22.43,42,4,7.26,,1725294593
139,hamilton,39.1834,-84.5333,24.55,52,40,5.66,US,1725294309
140,santana,-0.0583,-51.1817,33.1,62,20,4.63,BR,1725294593
141,sisimiut,66.9395,-53.6735,6.29,56,40,3.34,GL,1725294594
142,fortaleza,-3.7227,-38.5247,30.07,88,20,7.2,BR,1725294297
143,prado,-17.3411,-39.2208,26.73,58,27,7.09,BR,1725294594
144,rio novo,-21.4575,-43.1253,37.22,11,0,0.92,BR,1725294594
145,longyearbyen,78.2186,15.6401,9.91,81,75,8.75,SJ,1725294594
146,muroto-misakicho,33.2833,134.15,27.53,75,62,4.18,JP,1725294594
147,gazli,40.1333,63.45,24.33,13,0,9.9,UZ,1725294594
148,cabedelo,-6.9811,-34.8339,29.37,63,59,7.37,BR,1725294594
149,kijang,35.2442,129.2139,25.85,89,44,3.6,KR,1725294594
150,bredasdorp,-34.5322,20.0403,20.73,61,10,1.36,ZA,1725294594
151,zouerate,22.7187,-12.4521,40.06,10,2,7.62,MR,1725294594
152,inirida,3.8653,-67.9239,30.81,61,89,1.06,CO,1725294594
153,road town,18.4167,-64.6167,31.02,79,40,7.72,VG,1725294595
154,buriti alegre,-18.14,-49.0403,32.91,10,1,2.28,BR,1725294595
155,port lincoln,-34.7333,135.8667,10.45,72,0,1.78,AU,1725294595
156,bilibino,68.0546,166.4372,10.08,92,100,0.58,RU,1725294595
157,fale old settlement,-9.3852,-171.2468,28.37,66,100,8.15,TK,1725294595
158,fort bragg,35.139,-79.006,27.73,81,75,3.6,US,1725294595
159,esmeraldas,-19.7625,-44.3139,31.67,12,7,2.9,BR,1725294567
160,amos,48.5669,-78.1162,12.98,37,3,5.34,CA,1725294595
161,macapa,0.0389,-51.0664,32.99,62,20,4.63,BR,1725294595
162,san,13.3034,-4.8956,29.75,66,90,3.15,ML,1725294595
163,kamina,-8.7386,24.9906,29.06,23,72,3.81,CD,1725294595
164,touros,-5.1989,-35.4608,27.08,58,100,8.55,BR,1725294316
165,zamosc,50.7231,23.252,28.86,30,76,2.37,PL,1725294596
166,portland,45.5234,-122.6762,16.99,91,100,1.54,US,1725294320
167,mukalla,14.5425,49.1242,32.65,55,90,5.59,YE,1725294596
168,wailua homesteads,22.0669,-159.378,25.44,88,0,5.14,US,1725294596
169,mount isa,-20.7333,139.5,25.87,19,0,7.72,AU,1725294596
170,khash,28.2211,61.2158,26.29,15,0,9.19,IR,1725294596
171,namibe,-15.1961,12.1522,20.2,82,23,4.68,AO,1725294596
172,almeirim,-1.5233,-52.5817,35.95,34,25,2.64,BR,1725294596
173,puerto cabezas,14.0351,-83.3888,29.98,84,40,0.0,NI,1725294596
174,soligalich,59.0778,42.2864,19.88,73,12,1.47,RU,1725294596
175,ruzayevka,54.0639,44.9509,20.53,38,97,2.38,RU,1725294596
176,glace bay,46.1969,-59.957,21.25,98,100,5.66,CA,1725294596
177,herval,-32.0236,-53.3956,17.99,64,33,2.33,BR,1725294597
178,new norfolk,-42.7826,147.0587,7.06,84,23,4.39,AU,1725294597
179,petrozavodsk,61.7849,34.3469,19.7,68,19,2.0,RU,1725294597
180,palmer,42.1584,-72.3287,25.29,43,50,3.21,US,1725294597
181,bodo,67.28,14.405,19.41,58,20,7.72,NO,1725294597
182,cholpon-ata,42.6494,77.0823,10.1,78,100,3.17,KG,1725294597
183,margaret river,-33.95,115.0667,13.69,84,0,2.32,AU,1725294597
184,sao felix do xingu,-6.6447,-51.995,38.71,16,62,2.2,BR,1725294597
185,ippy,6.2679,21.2247,24.32,90,77,1.09,CF,1725294597
186,armavir,44.9892,41.1234,29.41,38,30,2.87,RU,1725294597
187,nishinoomote,30.7333,131.0,27.64,69,75,1.99,JP,1725294597
188,jayapura,-2.5333,140.7,24.66,94,100,2.07,ID,1725294597
189,afif,23.9065,42.9172,35.0,12,86,4.0,SA,1725294597
190,dudinka,69.4058,86.1778,9.38,67,99,3.93,RU,1725294598
191,lerwick,60.1545,-1.1494,13.86,90,100,6.67,GB,1725294598
192,senillosa,-39.0,-68.4167,18.88,22,0,16.62,AR,1725294598
193,lompoc,34.6391,-120.4579,18.23,94,40,0.0,US,1725294598
194,remire-montjoly,4.9167,-52.2667,29.02,74,40,1.03,GF,1725294598
195,portlaoise,53.0344,-7.2998,15.57,85,100,4.75,IE,1725294598
196,awjilah,29.1081,21.2869,35.9,18,0,5.73,LY,1725294598
197,kloulklubed,7.0419,134.2556,28.67,71,41,3.08,PW,1725294598
198,noshiro,40.2039,140.0242,20.9,90,100,0.57,JP,1725294598
199,tangermunde,52.5446,11.9765,26.08,38,67,0.45,DE,1725294598
200,bel ombre,-4.6167,55.4167,26.91,74,20,4.63,SC,1725294598
201,emerald,-23.5333,148.1667,17.97,56,14,4.33,AU,1725294598
202,sao joao da barra,-21.6403,-41.0511,31.05,49,42,4.31,BR,1725294598
203,williams lake,52.1415,-122.1445,16.76,60,75,1.54,CA,1725294599
204,vakhrushi,58.6847,50.0261,18.08,79,100,2.35,RU,1725294599
205,yasuj,30.6682,51.588,28.75,3,0,5.14,IR,1725294599
206,bridlington,54.0831,-0.1919,20.96,87,100,3.13,GB,1725294359
207,labrador city,52.9463,-66.9114,10.95,65,75,8.75,CA,1725294599
208,dzhetygara,52.1908,61.2006,16.44,60,4,3.84,KZ,1725294599
209,talnakh,69.4865,88.3972,9.88,81,100,2.58,RU,1725294599
210,gadzhiyevo,69.2551,33.3362,15.2,77,65,1.22,RU,1725294599
211,san fernando,15.0286,120.6898,25.85,93,100,2.55,PH,1725294599
212,vilhena,-12.7406,-60.1458,34.12,24,20,5.14,BR,1725294599
213,ardestan,33.3761,52.3694,28.71,10,0,4.07,IR,1725294599
214,stornoway,58.2093,-6.3865,12.98,84,75,5.14,GB,1725294599
215,port alfred,-33.5906,26.891,18.43,81,4,3.13,ZA,1725294572
216,armacao de buzios,-22.7469,-41.8817,24.09,74,69,12.01,BR,1725294600
217,tsiombe,-25.3,45.4833,18.7,84,61,4.73,MG,1725294600
218,sola,-13.8833,167.55,24.93,80,6,10.35,VU,1725294600
219,pagar alam,-4.0167,103.2667,20.65,96,44,1.77,ID,1725294600
220,machulishchy,53.7788,27.5948,21.45,60,77,3.17,BY,1725294531
221,cobourg,50.2667,10.9667,27.99,57,52,0.89,DE,1725294600
222,mataram,-8.5833,116.1167,23.45,85,18,2.08,ID,1725294600
223,shalqar,47.8333,59.6,19.92,24,0,1.74,KZ,1725294600
